DATE,NEI,NEI-PTER
9/1/2003,8.9639906771611511,10.066560505310200
10/1/2003,8.9518359464059287,10.026261442300999
11/1/2003,8.8156253301095102,9.878989277418190
12/1/2003,8.8040775479057505,9.870742600103799
1/1/2004,8.7453434259982217,9.806518245598889
2/1/2004,8.6970494903207705,9.706493486649579
3/1/2004,8.8231608449842991,9.891621970937139
4/1/2004,8.6934851822148094,9.705464190764260
5/1/2004,8.6878548518755814,9.725210156683060
6/1/2004,8.6641080195355205,9.663736611846090
7/1/2004,8.6562858423172990,9.657543044159601
8/1/2004,8.6295333407230004,9.658181047973400
9/1/2004,8.6116295143004198,9.616629572872611
10/1/2004,8.6523865984904695,9.717781011675919
11/1/2004,8.6024079112696494,9.593670401190099
12/1/2004,8.5893565954969411,9.577459448900420
1/1/2005,8.5403114210702302,9.513804510441330
2/1/2005,8.6006497512139504,9.544191649777160
3/1/2005,8.5240905412923009,9.503635328605361
4/1/2005,8.4826159993662600,9.412140806242549
5/1/2005,8.4054870000922701,9.369579457656700
6/1/2005,8.4384157693381301,9.422900432475830
7/1/2005,8.3495545121578889,9.323638076598520
8/1/2005,8.2646199687769197,9.278025498282480
9/1/2005,8.4100912698070207,9.444458304830199
10/1/2005,8.3705207350334412,9.312045415382840
11/1/2005,8.4327287510027897,9.339881454405401
12/1/2005,8.3881898392177909,9.289524739925479
1/1/2006,8.2742477212744099,9.173883223828170
2/1/2006,8.2701529654765604,9.188451437014519
3/1/2006,8.1678260081998797,9.042678410279610
4/1/2006,8.2973281496087310,9.128357832237119
5/1/2006,8.1231079318811901,9.027071342578060
6/1/2006,8.1155678464133700,9.056663637033910
7/1/2006,8.1759144414224796,9.115344364928140
8/1/2006,8.1448319226728607,9.081972263639670
9/1/2006,8.1269820333080407,9.043087282202400
10/1/2006,8.0923085808700197,9.043201952484210
11/1/2006,8.1421785673622100,9.034489319365150
12/1/2006,8.0401774997233506,8.945763622520699
1/1/2007,8.1149393599033193,9.033250819841600
2/1/2007,8.0874118102297601,8.995244192400339
3/1/2007,7.9343669266930403,8.857966572075281
4/1/2007,8.2101135258942595,9.117352546907080
5/1/2007,8.1651347666286096,9.134642130027331
6/1/2007,8.1360759441281694,9.066871255438270
7/1/2007,8.1531186419760999,9.104175931310191
8/1/2007,8.1778110839959197,9.188562053342659
9/1/2007,8.2259000000567291,9.221336389724970
10/1/2007,8.2216517416692092,9.162506471514970
11/1/2007,8.1401725375522496,9.089869784752359
12/1/2007,8.3112240329173783,9.292694999697680
1/1/2008,8.3246588329896003,9.363739744925370
2/1/2008,8.3141123819463392,9.357153999165831
3/1/2008,8.4315915012191400,9.484444448117470
4/1/2008,8.4575052881229507,9.546363409383311
5/1/2008,8.6175481721919809,9.752449758673990
6/1/2008,8.6707484322482600,9.855105212893401
7/1/2008,8.8552422773049688,10.140630001133299
8/1/2008,9.0006697927766801,10.272464643718299
9/1/2008,9.0877727273285416,10.413743757881299
10/1/2008,9.2270669762278530,10.655518234437100
11/1/2008,9.4800940175382795,11.017302466805100
12/1/2008,9.7514091443980195,11.452477384392999
1/1/2009,10.1823326298768997,11.912808511141099
2/1/2009,10.4016246339492007,12.262329212588799
3/1/2009,10.5969377378961003,12.536231706984100
4/1/2009,10.6914592353694005,12.550306471913700
5/1/2009,10.8934765548161998,12.824379217510302
6/1/2009,10.9321381703583000,12.860298056574701
7/1/2009,10.7692832248113994,12.701105955455199
8/1/2009,10.7832778157891997,12.703357863749702
9/1/2009,10.8549339289453997,12.714785199292400
10/1/2009,10.9685083882979999,12.867071250467800
11/1/2009,10.8237546956700008,12.725291838775702
12/1/2009,10.8862310990636004,12.792464061928598
1/1/2010,10.7935337582773005,12.603412749152302
2/1/2010,10.8042167760483991,12.682088593791899
3/1/2010,10.7804609839882009,12.718294840102599
4/1/2010,10.6272831407693999,12.547955603181901
5/1/2010,10.5172295874622002,12.376559780046399
6/1/2010,10.4395480517615002,12.262277493410402
7/1/2010,10.5035508928841992,12.343254414162100
8/1/2010,10.5748442653470995,12.420473254550600
9/1/2010,10.6059072116024993,12.501619405364499
10/1/2010,10.5592961462843000,12.416978494420700
11/1/2010,10.7051437361928006,12.542224993356699
12/1/2010,10.5080801901382994,12.370532123797400
1/1/2011,10.4262881446035998,12.207183215715300
2/1/2011,10.3720025677961001,12.145030586105101
3/1/2011,10.2879871024818996,12.098901588002700
4/1/2011,10.4055125347165998,12.217917617903300
5/1/2011,10.3416571954911998,12.142404583477200
6/1/2011,10.4497887936090006,12.226256569652801
7/1/2011,10.4331420685990999,12.200027230705800
8/1/2011,10.3691050025524998,12.182702693969199
9/1/2011,10.3340137183612999,12.177119360231600
10/1/2011,10.2888385736934005,12.092916049812899
11/1/2011,10.2112635592943004,11.956322461219500
12/1/2011,10.1263894088678992,11.823871398371800
1/1/2012,10.0129872621543008,11.716644384459199
2/1/2012,9.9928253349327392,11.701346747818899
3/1/2012,9.9968264542775387,11.610483329497001
4/1/2012,9.9981501739224807,11.635603429340300
5/1/2012,9.9588319547912487,11.641252487674899
6/1/2012,9.9961312647994802,11.670259661562500
7/1/2012,10.0054476694797998,11.685386569793300
8/1/2012,10.0599279267442991,11.683263486376100
9/1/2012,9.8284159172231096,11.543274735145401
10/1/2012,9.8039609349176704,11.499943079419600
11/1/2012,9.8595203006784402,11.524239053959001
12/1/2012,9.9121987152714102,11.541284094733500
1/1/2013,10.0256286805668999,11.654365632697500
2/1/2013,9.8426881604529601,11.516659257776800
3/1/2013,9.7792286625237601,11.354460185146101
4/1/2013,9.7887544514042713,11.416616862472299
5/1/2013,9.7897581816059098,11.401809215864500
6/1/2013,9.7632270031141903,11.420552501869199
7/1/2013,9.6053959839473695,11.252581169547099
8/1/2013,9.4996123305958307,11.078868893382300
9/1/2013,9.4933694914074707,11.070596535601000
10/1/2013,9.5727910082560808,11.223627736924101
11/1/2013,9.3571962130153512,10.924726566438100
12/1/2013,9.2897955780766406,10.880707247559400
1/1/2014,9.2560559318431199,10.704995484226799
2/1/2014,9.2735043148966696,10.756641717888099
3/1/2014,9.2641516676175328,10.762229945241501
4/1/2014,9.0916040262132505,10.610292025160000
5/1/2014,9.1612032488568502,10.610318438439499
6/1/2014,9.0589081710353696,10.566915938359200
7/1/2014,9.0966661658853099,10.586631063307101
8/1/2014,9.1065165683927294,10.561705701177001
9/1/2014,9.0394151506772129,10.440361074635000
10/1/2014,8.9089987468108394,10.362914713421100
11/1/2014,8.9688230054297104,10.355319691088200
12/1/2014,8.8400468406686095,10.216455914114601
1/1/2015,8.8769183199129102,10.215014316800801
2/1/2015,8.8257400093722502,10.163397525895499
3/1/2015,8.7718106995964984,10.092374267517901
4/1/2015,8.7677144786421710,10.086649475972800
5/1/2015,8.7260579072588893,10.027747679445500
6/1/2015,8.6979868813675409,9.976302200339889
7/1/2015,8.6881337870048405,9.936430155177810
